query_id,document_id,relevance
10002456_caption_00,10002456.jpg,1
10002456_caption_01,10002456.jpg,1
10002456_caption_02,10002456.jpg,1
10002456_caption_03,10002456.jpg,1
10002456_caption_04,10002456.jpg,1
1001896054_caption_00,1001896054.jpg,1
1001896054_caption_01,1001896054.jpg,1
1001896054_caption_02,1001896054.jpg,1
1001896054_caption_03,1001896054.jpg,1
1001896054_caption_04,1001896054.jpg,1
1009692167_caption_00,1009692167.jpg,1
1009692167_caption_01,1009692167.jpg,1
1009692167_caption_02,1009692167.jpg,1
1009692167_caption_03,1009692167.jpg,1
1009692167_caption_04,1009692167.jpg,1
101001624_caption_00,101001624.jpg,1
101001624_caption_01,101001624.jpg,1
101001624_caption_02,101001624.jpg,1
101001624_caption_03,101001624.jpg,1
101001624_caption_04,101001624.jpg,1
1010031975_caption_00,1010031975.jpg,1
1010031975_caption_01,1010031975.jpg,1
1010031975_caption_02,1010031975.jpg,1
1010031975_caption_03,1010031975.jpg,1
1010031975_caption_04,1010031975.jpg,1
1010470346_caption_00,1010470346.jpg,1
1010470346_caption_01,1010470346.jpg,1
1010470346_caption_02,1010470346.jpg,1
1010470346_caption_03,1010470346.jpg,1
1010470346_caption_04,1010470346.jpg,1
1018148011_caption_00,1018148011.jpg,1
1018148011_caption_01,1018148011.jpg,1
1018148011_caption_02,1018148011.jpg,1
1018148011_caption_03,1018148011.jpg,1
1018148011_caption_04,1018148011.jpg,1
102268204_caption_00,102268204.jpg,1
102268204_caption_01,102268204.jpg,1
102268204_caption_02,102268204.jpg,1
102268204_caption_03,102268204.jpg,1
102268204_caption_04,102268204.jpg,1
102617084_caption_00,102617084.jpg,1
102617084_caption_01,102617084.jpg,1
102617084_caption_02,102617084.jpg,1
102617084_caption_03,102617084.jpg,1
102617084_caption_04,102617084.jpg,1
1044434135_caption_00,1044434135.jpg,1
1044434135_caption_01,1044434135.jpg,1
1044434135_caption_02,1044434135.jpg,1
1044434135_caption_03,1044434135.jpg,1
1044434135_caption_04,1044434135.jpg,1
105335409_caption_00,105335409.jpg,1
105335409_caption_01,105335409.jpg,1
105335409_caption_02,105335409.jpg,1
105335409_caption_03,105335409.jpg,1
105335409_caption_04,105335409.jpg,1
105685221_caption_00,105685221.jpg,1
105685221_caption_01,105685221.jpg,1
105685221_caption_02,105685221.jpg,1
105685221_caption_03,105685221.jpg,1
105685221_caption_04,105685221.jpg,1
1059514525_caption_00,1059514525.jpg,1
1059514525_caption_01,1059514525.jpg,1
1059514525_caption_02,1059514525.jpg,1
1059514525_caption_03,1059514525.jpg,1
1059514525_caption_04,1059514525.jpg,1
1060605297_caption_00,1060605297.jpg,1
1060605297_caption_01,1060605297.jpg,1
1060605297_caption_02,1060605297.jpg,1
1060605297_caption_03,1060605297.jpg,1
1060605297_caption_04,1060605297.jpg,1
1061467336_caption_00,1061467336.jpg,1
1061467336_caption_01,1061467336.jpg,1
1061467336_caption_02,1061467336.jpg,1
1061467336_caption_03,1061467336.jpg,1
1061467336_caption_04,1061467336.jpg,1
1065323785_caption_00,1065323785.jpg,1
1065323785_caption_01,1065323785.jpg,1
1065323785_caption_02,1065323785.jpg,1
1065323785_caption_03,1065323785.jpg,1
1065323785_caption_04,1065323785.jpg,1
1066252238_caption_00,1066252238.jpg,1
1066252238_caption_01,1066252238.jpg,1
1066252238_caption_02,1066252238.jpg,1
1066252238_caption_03,1066252238.jpg,1
1066252238_caption_04,1066252238.jpg,1
1075716537_caption_00,1075716537.jpg,1
1075716537_caption_01,1075716537.jpg,1
1075716537_caption_02,1075716537.jpg,1
1075716537_caption_03,1075716537.jpg,1
1075716537_caption_04,1075716537.jpg,1
1078621572_caption_00,1078621572.jpg,1
1078621572_caption_01,1078621572.jpg,1
1078621572_caption_02,1078621572.jpg,1
1078621572_caption_03,1078621572.jpg,1
1078621572_caption_04,1078621572.jpg,1
1082110795_caption_00,1082110795.jpg,1
1082110795_caption_01,1082110795.jpg,1
1082110795_caption_02,1082110795.jpg,1
1082110795_caption_03,1082110795.jpg,1
1082110795_caption_04,1082110795.jpg,1
1082478946_caption_00,1082478946.jpg,1
1082478946_caption_01,1082478946.jpg,1
1082478946_caption_02,1082478946.jpg,1
1082478946_caption_03,1082478946.jpg,1
1082478946_caption_04,1082478946.jpg,1
1084527029_caption_00,1084527029.jpg,1
1084527029_caption_01,1084527029.jpg,1
1084527029_caption_02,1084527029.jpg,1
1084527029_caption_03,1084527029.jpg,1
1084527029_caption_04,1084527029.jpg,1
10863862_caption_00,10863862.jpg,1
10863862_caption_01,10863862.jpg,1
10863862_caption_02,10863862.jpg,1
10863862_caption_03,10863862.jpg,1
10863862_caption_04,10863862.jpg,1
1087539207_caption_00,1087539207.jpg,1
1087539207_caption_01,1087539207.jpg,1
1087539207_caption_02,1087539207.jpg,1
1087539207_caption_03,1087539207.jpg,1
1087539207_caption_04,1087539207.jpg,1
10919429_caption_00,10919429.jpg,1
10919429_caption_01,10919429.jpg,1
10919429_caption_02,10919429.jpg,1
10919429_caption_03,10919429.jpg,1
10919429_caption_04,10919429.jpg,1
109202801_caption_00,109202801.jpg,1
109202801_caption_01,109202801.jpg,1
109202801_caption_02,109202801.jpg,1
109202801_caption_03,109202801.jpg,1
109202801_caption_04,109202801.jpg,1
1092437557_caption_00,1092437557.jpg,1
1092437557_caption_01,1092437557.jpg,1
1092437557_caption_02,1092437557.jpg,1
1092437557_caption_03,1092437557.jpg,1
1092437557_caption_04,1092437557.jpg,1
109738763_caption_00,109738763.jpg,1
109738763_caption_01,109738763.jpg,1
109738763_caption_02,109738763.jpg,1
109738763_caption_03,109738763.jpg,1
109738763_caption_04,109738763.jpg,1
109738916_caption_00,109738916.jpg,1
109738916_caption_01,109738916.jpg,1
109738916_caption_02,109738916.jpg,1
109738916_caption_03,109738916.jpg,1
109738916_caption_04,109738916.jpg,1
109741554_caption_00,109741554.jpg,1
109741554_caption_01,109741554.jpg,1
109741554_caption_02,109741554.jpg,1
109741554_caption_03,109741554.jpg,1
109741554_caption_04,109741554.jpg,1
109823395_caption_00,109823395.jpg,1
109823395_caption_01,109823395.jpg,1
109823395_caption_02,109823395.jpg,1
109823395_caption_03,109823395.jpg,1
109823395_caption_04,109823395.jpg,1
109823397_caption_00,109823397.jpg,1
109823397_caption_01,109823397.jpg,1
109823397_caption_02,109823397.jpg,1
109823397_caption_03,109823397.jpg,1
109823397_caption_04,109823397.jpg,1
110226481_caption_00,110226481.jpg,1
110226481_caption_01,110226481.jpg,1
110226481_caption_02,110226481.jpg,1
110226481_caption_03,110226481.jpg,1
110226481_caption_04,110226481.jpg,1
110695011_caption_00,110695011.jpg,1
110695011_caption_01,110695011.jpg,1
110695011_caption_02,110695011.jpg,1
110695011_caption_03,110695011.jpg,1
110695011_caption_04,110695011.jpg,1
111069375_caption_00,111069375.jpg,1
111069375_caption_01,111069375.jpg,1
111069375_caption_02,111069375.jpg,1
111069375_caption_03,111069375.jpg,1
111069375_caption_04,111069375.jpg,1
111390902_caption_00,111390902.jpg,1
111390902_caption_01,111390902.jpg,1
111390902_caption_02,111390902.jpg,1
111390902_caption_03,111390902.jpg,1
111390902_caption_04,111390902.jpg,1
1118168796_caption_00,1118168796.jpg,1
1118168796_caption_01,1118168796.jpg,1
1118168796_caption_02,1118168796.jpg,1
1118168796_caption_03,1118168796.jpg,1
1118168796_caption_04,1118168796.jpg,1
11205420_caption_00,11205420.jpg,1
11205420_caption_01,11205420.jpg,1
11205420_caption_02,11205420.jpg,1
11205420_caption_03,11205420.jpg,1
11205420_caption_04,11205420.jpg,1
112243673_caption_00,112243673.jpg,1
112243673_caption_01,112243673.jpg,1
112243673_caption_02,112243673.jpg,1
112243673_caption_03,112243673.jpg,1
112243673_caption_04,112243673.jpg,1
11391827_caption_00,11391827.jpg,1
11391827_caption_01,11391827.jpg,1
11391827_caption_02,11391827.jpg,1
11391827_caption_03,11391827.jpg,1
11391827_caption_04,11391827.jpg,1
1141739219_caption_00,1141739219.jpg,1
1141739219_caption_01,1141739219.jpg,1
1141739219_caption_02,1141739219.jpg,1
1141739219_caption_03,1141739219.jpg,1
1141739219_caption_04,1141739219.jpg,1
1142847777_caption_00,1142847777.jpg,1
1142847777_caption_01,1142847777.jpg,1
1142847777_caption_02,1142847777.jpg,1
1142847777_caption_03,1142847777.jpg,1
1142847777_caption_04,1142847777.jpg,1
1143373711_caption_00,1143373711.jpg,1
1143373711_caption_01,1143373711.jpg,1
1143373711_caption_02,1143373711.jpg,1
1143373711_caption_03,1143373711.jpg,1
1143373711_caption_04,1143373711.jpg,1
1143882946_caption_00,1143882946.jpg,1
1143882946_caption_01,1143882946.jpg,1
1143882946_caption_02,1143882946.jpg,1
1143882946_caption_03,1143882946.jpg,1
1143882946_caption_04,1143882946.jpg,1
